Title 	Publisher/Developer 	Genre 	Year
Animal Basket[5]
(Japan: Hustle Tamaire Kyousou) 	Sammy, Moss 	Sports 	2005
Block Pong Pong[5] 	Sammy 	Sports 	2005
Demolish Fist[6] 	Sammy, Dimps 	Beat 'em up 	2003
Dirty Pigskin Football[5] 	Sammy, Play Mechanix 	Sports 	2006
Dolphin Blue [fr][7] 	Sammy 	Shoot 'em up 	2003
Extreme Hunting[5] 	Sammy 	Lightgun shooter 	2005
Extreme Hunting 2 Tournament Edition 	Sega Amusement USA 	Lightgun shooter 	2006
Faster Than Speed[8] 	Sammy 	Racing 	2004
Fist of the North Star
(Japan: Hokuto No Ken) 	Sega, Arc System Works 	Fighting 	2005
Guilty Gear Isuka[9] 	Sammy, Arc System Works 	Fighting 	2003
Guilty Gear X Version 1.5 	Sammy, Arc System Works 	Fighting 	2003
The King of Fighters Neowave 	Sammy, SNK Playmore 	Fighting 	2004
The King of Fighters XI 	Sega, SNK Playmore 	Fighting 	2005
Knights of Valour: The Seven Spirits 	Sammy, IGS 	Beat 'em up 	2003
Maximum Speed[10] 	Sammy, SIMS 	Racing 	2003
Metal Slug 6 	Sega, SNK Playmore 	Platformer 	2006
Miracle Stadium 	Sammy 	Sports 	2005
NeoGeo Battle Coliseum 	Sega, SNK Playmore 	Fighting 	2005
Net Select Keiba Victory Furlong 	Sammy 	Sports 	2005
Net Select Salary Man Kintarou 	Sammy 	Mahjong 	2004
Ranger Mission[5] 	Sammy 	Lightgun shooter 	2004
The Rumble Fish 	Sammy, Dimps 	Fighting 	2004
The Rumble Fish 2[9] 	Sammy, Dimps 	Fighting 	2005
Samurai Spirits: Tenkaichi Kenkakuden 	Sega, SNK Playmore 	Fighting 	2005
Sega Bass Fishing Challenge 	Sega Amusement USA 	Sports 	2009
Sega Clay Challenge[5] 	Sega Amusement USA 	Lightgun shooter 	2008
Sports Shooting USA[5] 	Sammy 	Lightgun shooter 	2003
Wai Wai Drive[5] 	Sammy 	Action 	2005 
